prefix,base
NCRO,http://purl.obolibrary.org/obo/NCRO_
NOMEN,http://purl.obolibrary.org/obo/NOMEN_
OAE,http://purl.obolibrary.org/obo/OAE_
OARCS,http://purl.obolibrary.org/obo/OARCS_
OGG,http://purl.obolibrary.org/obo/OGG_
OGMS,http://purl.obolibrary.org/obo/OGMS_
OGSF,http://purl.obolibrary.org/obo/OGSF_
OHD,http://purl.obolibrary.org/obo/OHD_
OMIT,http://purl.obolibrary.org/obo/OMIT_
OMO,http://purl.obolibrary.org/obo/OMO_
BFO,http://purl.obolibrary.org/obo/BFO_
OHMI,http://purl.obolibrary.org/obo/OHMI_
OHPI,http://purl.obolibrary.org/obo/OHPI_
OlatDv,http://purl.obolibrary.org/obo/OlatDv_
OMIABIS,http://purl.obolibrary.org/obo/OMIABIS_
OMRSE,http://purl.obolibrary.org/obo/OMRSE_
CHEBI,http://purl.obolibrary.org/obo/CHEBI_
ONE,http://purl.obolibrary.org/obo/ONE_
DOID,http://purl.obolibrary.org/obo/DOID_
ONS,http://purl.obolibrary.org/obo/ONS_
GO,http://purl.obolibrary.org/obo/GO_
ONTONEO,http://purl.obolibrary.org/obo/ONTONEO_
OBI,http://purl.obolibrary.org/obo/OBI_
OMP,http://purl.obolibrary.org/obo/OMP_
OVAE,http://purl.obolibrary.org/obo/OVAE_
ZFA,http://purl.obolibrary.org/obo/ZFA_
AEO,http://purl.obolibrary.org/obo/AEO_
OOSTT,http://purl.obolibrary.org/obo/OOSTT_
PATO,http://purl.obolibrary.org/obo/PATO_
OPL,http://purl.obolibrary.org/obo/OPL_
PO,http://purl.obolibrary.org/obo/PO_
OPMI,http://purl.obolibrary.org/obo/OPMI_
PR,http://purl.obolibrary.org/obo/PR_
ORNASEQ,http://purl.obolibrary.org/obo/ORNASEQ_
XAO,http://purl.obolibrary.org/obo/XAO_
PdumDv,http://purl.obolibrary.org/obo/PdumDv_
AISM,http://purl.obolibrary.org/obo/AISM_
PECO,http://purl.obolibrary.org/obo/PECO_
AMPHX,http://purl.obolibrary.org/obo/AMPHX_
PHIPO,http://purl.obolibrary.org/obo/PHIPO_
APO,http://purl.obolibrary.org/obo/APO_
PLANA,http://purl.obolibrary.org/obo/PLANA_
APOLLO_SV,http://purl.obolibrary.org/obo/APOLLO_SV_
PCO,http://purl.obolibrary.org/obo/PCO_
PDRO,http://purl.obolibrary.org/obo/PDRO_
AGRO,http://purl.obolibrary.org/obo/AGRO_
CARO,http://purl.obolibrary.org/obo/CARO_
PLANP,http://purl.obolibrary.org/obo/PLANP_
ARO,http://purl.obolibrary.org/obo/ARO_
PORO,http://purl.obolibrary.org/obo/PORO_
BCO,http://purl.obolibrary.org/obo/BCO_
PPO,http://purl.obolibrary.org/obo/PPO_
BSPO,http://purl.obolibrary.org/obo/BSPO_
PSDO,http://purl.obolibrary.org/obo/PSDO_
BTO,http://purl.obolibrary.org/obo/BTO_
